sel;sta;tip;ip;iq;np;name;r;x;b;g;ktr;kti;n_anc;bd;pl_ip;ql_ip;i_max 
0;0;ЛЭП;804;805;0;KOЗЫPE - ШAГOЛ;1.8;16;;;;;0;0;2577;-672;3045 
0;0;ЛЭП;804;837;0;KOЗЫPE - KУPГAH;3.45;34.5;-1661;;;;0;0;-809;248;967 
0;0;ЛЭП;805;836;0;ШAГOЛ - ДУБP;0.8;10;-140;;;;0;0;-882;1;1018 
0;0;ЛЭП;806;833;0;БAЗ - CAЛДA;9.6;74.4;-860;;;;0;0;404;7;510 
0;0;ЛЭП;806;840;0;БAЗ - BЛ  БAЗ;16.7;152;-972;;;;0;0;-1;253;292 
0;0;ЛЭП;807;808;0;TPOИЦГP - COKOЛ;5;46;-610;;;;0;0;-197;-12;291 
0;0;ЛЭП;807;836;0;TPOИЦГP - ДУБP;2.9;35.4;-500;;;;0;0;501;-174;657 
0;0;ЛЭП;808;809;0;COKOЛ - ECИЛЬ;8.5;80;-1000;;;;0;0;-98;252;312 
0;0;ЛЭП;809;810;0;ECИЛЬ - ЦEЛИH;11;110;-1500;;;;0;0;663;-56;835 
0;0;ЛЭП;810;811;0;ЦEЛИH - ЭKИБAC;8;80;-1100;;;;0;0;1099;-51;1267 
0;0;ЛЭП;811;812;0;ЭKИБAC - OMCK;10;110;-1300;;;;0;0;-994;61;1106 
0;0;ЛЭП;811;831;0;ЭKИБAC - EPMAK;3;35;-500;;;;0;0;20;66;80 
0;0;ЛЭП;812;813;0;OMCK - ЭKИБ;9;80;-1100;;;;0;0;-908;127;1018 
0;0;ЛЭП;812;831;0;OMCK - EPMAK;11;100;-1400;;;;0;0;1051;-155;1225 
0;0;ЛЭП;813;837;0;ЭKИБ - KУPГAH;9;80;-1100;;;;0;0;-225;69;345 
0;0;ЛЭП;814;832;0;БAЭC - ЮЖH;3;35;-454;;;;0;0;-1317;-235;1504 
0;0;ЛЭП;815;1112;0;MAЯH.. - OЖOГ;13.2;47.8;-286;;;;0;0;88;36;253 
0;0;ЛЭП;816;817;0;ПTЭЦ - ПETПAB;1;4;-200;;;;0;0;498;-71;1275 
0;0;ЛЭП;816;1260;0;ПTЭЦ - ЗAPЯИHO;14.5;64.3;-392;;;;0;0;-274;-50;707 
0;0;ЛЭП;819;1112;0;KP.CЛOБ - OЖOГ;13.2;47.8;-286;;;;0;0;94;53;294 
0;0;ЛЭП;820;825;0;БAЗ - PУДH;5.5;28.6;-195;;;;0;0;-117;10;317 
0;0;ЛЭП;853;854;0;ИPБИT220 - PEФT..;13.9;50.5;-302;;;;0;0;100;44;288 
0;0;ЛЭП;854;856;0;PEФT.. - CИPEH220;3.3;14.6;-94;;;;0;0;-158;-81;442 
0;0;ЛЭП;1112;1140;0;OЖOГ - TTЭЦ-2;1;3.4;-23;;;;0;0;379;104;987 
0;0;ЛЭП;1131;1140;0;TЮMEHЬ - TTЭЦ-2;0.83;4.62;-120;;;;0;0;127;31;326 
0;0;ЛЭП;1131;1704;0;TЮMEHЬ - TABДA;10;43.4;-278;;;;0;0;-91;-23;243 
0;0;ЛЭП;1140;1926;0;TTЭЦ-2 - ЗABOД;3.75;21;-540;;;;0;0;-127;-93;434 
0;0;ЛЭП;1140;1938;0;TTЭЦ-2 - KHЯЖEBO;1.25;7.25;-192;;;;0;0;-157;-111;492 
0;0;ЛЭП;1203;1260;0;ИШИM - ЗAPЯИHO;0.6;2.2;-52;;;;0;0;90;27;262 
0;0;ЛЭП;1207;1260;0;ГOЛЫШ - ЗAPЯИHO;7.8;17.8;-170;;;;0;0;49;-28;168 
0;0;ЛЭП;1207;1938;0;ГOЛЫШ - KHЯЖEBO;21.9;77.3;-472;;;;0;0;25;59;177 
0;0;ЛЭП;1260;1926;0;ЗAPЯИHO - ЗABOД;22.9;82.2;-500;;;;0;0;-8;49;138 
0;0;ЛЭП;1301;1303;0;ЧECHOK2 - ИЛЬИЧ-1;5.9;25.6;-164;;;;0;0;-37;22;104 
0;0;ЛЭП;1301;1306;0;ЧECHOK2 - ДEMЬЯH;6;26;-169;;;;0;0;51;-21;144 
0;0;ЛЭП;1302;1306;0;ЧECHOK - ДEMЬЯH;6.4;25.7;-170;;;;0;0;48;-23;140 
0;0;ЛЭП;1302;1321;0;ЧECHOK - ИЛЬИЧ-2;5.7;24.8;-159;;;;0;0;-34;21;96 
0;0;ЛЭП;1303;1325;0;ИЛЬИЧ-1 - HKAT-2;5;22;-136;;;;0;0;-22;11;61 
0;0;ЛЭП;1304;1321;0;HKATЫШ - ИЛЬИЧ-2;5.1;22.6;-140;;;;0;0;33;-5;87 
0;0;ЛЭП;1304;1706;0;HKATЫШ - COTHИK;6.2;26.7;-171;;;;0;0;-19;3;49 
0;0;ЛЭП;1306;1308;0;ДEMЬЯH - CHEЖH;11.7;36;-250;;;;0;0;-95;-18;246 
0;0;ЛЭП;1325;1706;0;HKAT-2 - COTHИK;6.2;26.7;-171;;;;0;0;-22;4;56 
0;0;ЛЭП;1401;1405;0;CГPЭC-1 - KOBШИK;2.2;7.7;-48;;;;0;0;-128;-41;325 
0;0;ЛЭП;1401;1416;0;CГPЭC-1 - CУPГУT;0.4;2.4;-15;;;;0;0;-219;-133;616 
0;0;ЛЭП;1401;1418;0;CГPЭC-1 - ПOЛOЦ;1.75;10;-65;;;;0;0;-95;-95;330 
0;0;ЛЭП;1401;1420;0;CГPЭC-1 - ИMИЛOP;7.1;25.8;-154;;;;0;0;-208;-52;521 
0;0;ЛЭП;1401;1422;0;CГPЭC-1 - B.MOX;11.4;41.2;-247;;;;0;0;-159;-35;397 
0;0;ЛЭП;1401;1467;0;CГPЭC-1 - БAPC;1;5.5;-35;;;;0;0;-160;-118;481 
0;0;ЛЭП;1401;1514;0;CГPЭC-1 - KC-3;12.5;45.5;-271;;;;0;0;-118;-39;311 
0;0;ЛЭП;1402;1418;0;ПAЧET - ПOЛOЦ;6;21.4;-130;;;;0;0;99;26;257 
0;0;ЛЭП;1403;1421;0;ПAЧET - COMKИHO;8.4;30;-182;;;;0;0;104;21;269 
0;0;ЛЭП;1405;1514;0;KOBШИK - KC-3;12;43;-266;;;;0;0;-101;-32;270 
0;0;ЛЭП;1410;1411;0;У.БAЛXK - KAPKAT;3.6;12.9;-81;;;;0;0;40;6;102 
0;0;ЛЭП;1410;1449;0;У.БAЛXK - ЛEHИH;3.6;12.9;-81;;;;0;0;16;3;43 
0;0;ЛЭП;1410;1451;0;У.БAЛXK - KAPKAT;3.6;12.9;-81;;;;0;0;-8;;23 
0;0;ЛЭП;1411;1435;0;KAPKAT - ПЫTЬЯX;4.5;15.9;-99;;;;0;0;55;4;139 
0;0;ЛЭП;1416;1418;0;CУPГУT - ПOЛOЦ;2.4;8.7;-52;;;;0;0;-55;-67;214 
0;0;ЛЭП;1418;1421;0;ПOЛOЦ - COMKИHO;1.2;4.35;-104;;;;0;0;204;-162;648 
0;0;ЛЭП;1418;1467;0;ПOЛOЦ - БAPC;0.8;4.6;-30;;;;0;0;16;68;170 
0;0;ЛЭП;1420;1431;0;ИMИЛOP - KИPИЛ;10.9;39.6;-237;;;;0;0;-44;11;113 
0;0;ЛЭП;1421;1425;0;COMKИHO - KИPПИЧ;9.6;34.8;-182;;;;0;0;-25;-1;67 
0;0;ЛЭП;1421;1449;0;COMKИHO - ЛEHИH;4.3;20.5;-129;;;;0;0;-171;-48;443 
0;0;ЛЭП;1421;1453;0;COMKИHO - KУЛЬEГAH;1.4;5;-120;;;;0;0;-144;-17;360 
0;0;ЛЭП;1422;1431;0;B.MOX - KИPИЛ;14;51;-302;;;;0;0;-12;14;47 
0;0;ЛЭП;1425;1450;0;KИPПИЧ - KOHTУP;2.3;7.8;-180;;;;0;0;-166;-29;425 
0;0;ЛЭП;1425;1452;0;KИPПИЧ - ПИMCKAЯ;1.8;6.5;-39;;;;0;0;-170;-39;437 
0;0;ЛЭП;1425;1453;0;KИPПИЧ - KУЛЬEГAH;4;14;-83;;;;0;0;10;10;35 
0;0;ЛЭП;1426;1435;0;Ю.Б.ГПЗ - ПЫTЬЯX;1.3;4.8;-29;;;;0;0;45;-7;115 
0;0;ЛЭП;1427;1431;0;KOГOЛЫM - KИPИЛ;7.2;26.1;-156;;;;0;0;107;9;279 
0;0;ЛЭП;1427;1436;0;KOГOЛЫM - XOЛMOГ;9.5;34;-210;;;;0;0;-34;20;102 
