sel;sta;tip;ip;iq;np;name;r;x;b;g;ktr;kti;n_anc;bd;pl_ip;ql_ip;i_max 
0;0;ЛЭП;2880;2886;0;ПС 35 кВ Центральная - ПС 110 кВ Окоча СШ 35 кВ ;0.54;0.95;-5.9;;;;0;0;6;3;104 
0;0;ЛЭП;60402941;60402933;0;отпайка НПС-8 2 - ПС 220 кВ НПС-7 2 СШ;16.88;59.02;-367.4;5.8;;;0;0;43;;113 
0;0;ЛЭП;2879;2359;0;ПС 35 кВ Кислородная  - Майская ГРЭС I С.Ш.;2.96;4.28;-29.2;;;;0;0;4;1;68 
0;0;ЛЭП;60402933;60402930;0;ПС 220 кВ НПС-7 2 СШ - ПС 220 кВ НПС-6 2 СШ;15.09;54.23;-324.1;7;;;0;0;48;-18;143 
0;0;ЛЭП;60402932;60402931;0;ПС 220 кВ НПС-7 1 СШ - ПС 220 кВ НПС-6 1 СШ;15.1;54.3;-324.5;7;;;0;0;59;-20;167 
1;1;Выкл;7135;7134;0;ПС 110 кВ Марха Т-1 - ПС 110 кВ Марха Т-2;;;;;;;0;0;;; 
1;1;Выкл;2148;2124;0;ПС 110 кВ СДВ 1С 110 - ПС 110 кВ СДВ 2С 110;;;;;;;0;0;;; 
1;1;ЛЭП;7138;7134;0;отп.Л-102 отпайка на Марха - ПС 110 кВ Марха Т-2;0.07;0.14;-0.9;;;;0;0;;; 
1;1;ЛЭП;7138;7144;0;отп.Л-102 отпайка на Марха - ПС 110 кВ Радиоцентр 1СШ 110;4.02;5.79;-34.8;;;;0;0;;; 
1;1;ЛЭП;7136;7138;0;отп.Л-102 РЛТ-102 - отп.Л-102 отпайка на Марха;1.17;1.69;-10.2;;;;0;0;;; 
1;1;ЛЭП;7139;7135;0;отп.Л-101 отпайка на Марха - ПС 110 кВ Марха Т-1;0.07;0.14;-0.9;;;;0;0;;; 
1;1;ЛЭП;7139;7143;0;отп.Л-101 отпайка на Марха - отп. Л-101 на ПС 110 кВ Радиоцентр;3.93;5.66;-34;;;;0;0;;; 
1;1;ЛЭП;7137;7139;0;отп.Л-101 РЛТ-101 - отп.Л-101 отпайка на Марха;1.17;1.69;-10.2;;;;0;0;;; 
1;1;Тр-р;60305408;60305813;2;ПС 220 кВ Удоканский ГМК ОРУ 220 кВ - ПС 220 кВ Удоканский ГМК ЗРУ 35 кВ;2.69;74.19;1.4;;0.164;;12;60300;;; 
1;1;Тр-р;2124;2824;0;ПС 110 кВ СДВ 2С 110 - ПС 35 кВ СДВ 1С 35;1.6;57.8;;;0.335;;0;0;;; 
1;1;Тр-р;2148;2848;0;ПС 110 кВ СДВ 1С 110 - ПС 35 кВ СДВ 2С 35 ;1.6;57.8;;;0.335;;0;0;;; 
1;1;ЛЭП;2310;2124;0;Хабаровская ТЭЦ-1 ЗРУ-110 кВ - ПС 110 кВ СДВ 2С 110;6.52;1.3;-133.5;;;;0;0;;; 
1;1;ЛЭП;2310;2148;0;Хабаровская ТЭЦ-1 ЗРУ-110 кВ - ПС 110 кВ СДВ 1С 110;6.52;1.3;-133.5;;;;0;0;;; 
1;1;ЛЭП;4608;4618;0;ПП 220 кВ Налдинская - ПС 220 кВ НПС-18 1 СШ 220;12.98;58.01;-357.7;21;;;0;0;;; 
1;1;ЛЭП;4312;4608;0;Нерюнгринская ГРЭС 2СШ-220 - ПП 220 кВ Налдинская;4.5;20.13;-124.1;7.3;;;0;0;;; 
1;1;ЛЭП;60305408;60305003;2;ПС 220 кВ Удоканский ГМК ОРУ 220 кВ - ПС 220 кВ Чара;1.92;8.58;-55.7;;;;0;0;;; 
1;1;ЛЭП;3419;60305003;2;ПС 220 кВ Хани ОРУ 220 кВ - ПС 220 кВ Чара;9.27;53.34;-343;;;;0;0;;; 
1;1;ЛЭП;3416;3419;0;ПС 220 кВ Лопча ОРУ 220 кВ - ПС 220 кВ Хани ОРУ 220 кВ;19.93;114.66;-737.4;;;;0;0;;; 
1;1;ЛЭП;3401;3416;0;ПС 220 кВ Тында 1С-220 - ПС 220 кВ Лопча ОРУ 220 кВ;11.68;67.2;-432.2;;;;0;0;;; 
1;1;ЛЭП;3418;3419;1;ПС 220 кВ Олекма - ПС 220 кВ Хани ОРУ 220 кВ;4.74;21.17;-130.5;;;;0;0;;; 
1;1;ЛЭП;3417;3418;1;ПС 220 кВ Юктали ОРУ 220 кВ - ПС 220 кВ Олекма;8.29;37.06;-228.5;;;;0;0;;; 
1;1;ЛЭП;1558;1482;0;ПС 220 кВ Суходол - ПС 220 кВ Зеленый Угол 2С 220;4.94;27.76;-183.6;;;;0;0;;; 
1;1;ЛЭП;1554;1558;0;ПС 500 кВ Владивосток 2с 220 - ПС 220 кВ Суходол;3;17.14;-112.6;;;;0;0;;; 
0;0;Выкл;60301099;60301097;0;ПС 220 кВ Холбон   - ПС 220 кВ Холбон  ;;;;;;;0;0;87;-109;335 
0;0;Выкл;60301100;60301098;0;ПС 220 кВ Холбон   - ПС 220 кВ Холбон  ;;;;;;;0;0;-18;-4;88 
0;0;Тр-р;60301134;60301098;0;ПС 220 кВ Холбон ср. точка АТ-2  - ПС 220 кВ Холбон  ;0.6;-3.86;;;0.495;;4;60305;-8;9;57 
0;0;Тр-р;60301134;60301135;0;ПС 220 кВ Холбон ср. точка АТ-2  - ПС 220 кВ Холбон ;0.91;85.16;;;0.046;;0;0;;;1 
0;0;Тр-р;60301099;60301134;0;ПС 220 кВ Холбон   - ПС 220 кВ Холбон ср. точка АТ-2 ;0.69;45.75;9;1.6;1;;0;0;-8;8;27 
0;0;Тр-р;60301136;60301100;0;ПС 220 кВ Холбон ср. точка АТ-1  - ПС 220 кВ Холбон  ;0.61;-0.28;;;0.5;;7;60304;-10;-8;64 
0;0;Тр-р;60301136;60301137;0;ПС 220 кВ Холбон ср. точка АТ-1  - ПС 220 кВ Холбон ;0.82;174.9;;;0.046;;0;0;;;15 
0;0;Тр-р;60301097;60301136;0;ПС 220 кВ Холбон   - ПС 220 кВ Холбон ср. точка АТ-1 ;0.68;34.97;8.8;1.6;1;;0;0;-11;-9;33 
0;1;Выкл;60301087;60301112;0;ПС 220 кВ Урюм   - ПС 220 кВ Урюм ШР  ;;;;;;;0;0;;; 
0;1;Выкл;60301071;60301157;0;ПС 220 кВ Семиозернный   - ПС 220 кВ Семиозернный ШР-4  ;;;;;;;0;0;;; 
0;1;Выкл;60301071;60301158;0;ПС 220 кВ Семиозернный   - ПС 220 кВ Семиозернный ШР-3  ;;;;;;;0;0;;; 
0;1;Выкл;60301071;60301156;0;ПС 220 кВ Семиозернный   - ПС 220 кВ Семиозернный ШР-2  ;;;;;;;0;0;;; 
0;1;Выкл;60301071;60305007;0;ПС 220 кВ Семиозернный   - ПС 220 кВ Семиозернный ШР-1  ;;;;;;;0;0;;; 
0;1;Выкл;60301046;60301119;0;ПС 220 кВ Могоча   - ПС 220 кВ Могоча ШРр-6  ;;;;;;;0;0;;; 
0;1;Выкл;60301046;60301118;0;ПС 220 кВ Могоча   - ПС 220 кВ Могоча ШРр-5  ;;;;;;;0;0;;; 
0;1;Выкл;60301046;60301117;0;ПС 220 кВ Могоча   - ПС 220 кВ Могоча ШРр-4  ;;;;;;;0;0;;; 
0;1;Выкл;60301046;60301116;0;ПС 220 кВ Могоча   - ПС 220 кВ Могоча ШРр-3  ;;;;;;;0;0;;; 
0;1;Выкл;60301048;60301115;0;ПС 220 кВ Могоча   - ПС 220 кВ Могоча ШРр-2  ;;;;;;;0;0;;; 
0;1;Выкл;60301048;60301114;0;ПС 220 кВ Могоча   - ПС 220 кВ Могоча ШРр-1  ;;;;;;;0;0;;; 
0;1;Выкл;60301046;60301079;0;ПС 220 кВ Могоча   - ПС 220 кВ Могоча ТКРМ-2  ;;;;;;;0;0;;; 
0;1;Выкл;60301048;60301078;0;ПС 220 кВ Могоча   - ПС 220 кВ Могоча ТКРМ-1  ;;;;;;;0;0;;; 
0;0;Тр-р;60301044;60301183;0;ПС 220 кВ Могоча 3-4 cш 220 кВ   - ПС 220 кВ Могоча 5СШ - 35 кВ ;1.04;42.65;1.8;1.3;0.151;;2;60326;;; 
0;0;Тр-р;60301044;60301184;0;ПС 220 кВ Могоча 3-4 cш 220 кВ   - ПС 220 кВ Могоча 6СШ - 35 кВ ;1.04;42.65;1.8;1.3;0.151;;2;60326;;61;154 
0;0;Тр-р;60301043;60301181;0;ПС 220 кВ Могоча 1-2 сш 220 кВ   - ПС 220 кВ Могоча 3СШ - 35 кВ ;1.04;42.65;1.8;1.3;0.151;;2;60326;;; 
0;0;Тр-р;60301043;60301182;0;ПС 220 кВ Могоча 1-2 сш 220 кВ   - ПС 220 кВ Могоча 4СШ - 35 кВ ;1.04;42.65;1.8;1.3;0.151;;2;60326;;17;42 
0;0;Выкл;60301047;60301045;0;ПС 220 кВ Могоча   - ПС 220 кВ Могоча  ;;;;;;;0;0;-7;-8;52 
0;1;Выкл;60301046;60301069;0;ПС 220 кВ Могоча   - ПС 220 кВ Могоча Рр-8  ;;;;;;;0;0;;; 
0;1;Выкл;60301048;60301068;0;ПС 220 кВ Могоча   - ПС 220 кВ Могоча Рр-7  ;;;;;;;0;0;;; 
0;0;ЛЭП;60301124;60301047;0;ПС 220 кВ Могоча   - ПС 220 кВ Могоча  ;0.01;0.01;;;;;0;0;-9;-8;59 
0;0;ЛЭП;60301125;60301045;0;ПС 220 кВ Могоча   - ПС 220 кВ Могоча  ;0.01;0.01;;;;;0;0;-9;-8;59 
0;0;Выкл;60301184;60301188;0;ПС 220 кВ Могоча 6СШ - 35 кВ  - ПС 220 кВ Могоча Фр-ПН-4 ;;;;;;;0;0;;10;164 
0;1;Выкл;60301183;60301187;0;ПС 220 кВ Могоча 5СШ - 35 кВ  - ПС 220 кВ Могоча Фр-ПН-3 ;;;;;;;0;0;;; 
0;0;Выкл;60301182;60301186;0;ПС 220 кВ Могоча 4СШ - 35 кВ  - ПС 220 кВ Могоча Фр-ПН-2 ;;;;;;;0;0;;10;164 
0;1;Выкл;60301181;60301185;0;ПС 220 кВ Могоча 3СШ - 35 кВ  - ПС 220 кВ Могоча Фр-ПН-1 ;;;;;;;0;0;;; 
0;0;Выкл;60301184;60301074;0;ПС 220 кВ Могоча 6СШ - 35 кВ  - ПС 220 кВ Могоча ПН-4 ;;;;;;;0;0;;54;853 
0;1;Выкл;60301183;60301073;0;ПС 220 кВ Могоча 5СШ - 35 кВ  - ПС 220 кВ Могоча ПН-3 ;;;;;;;0;0;;; 
0;0;Выкл;60301182;60301072;0;ПС 220 кВ Могоча 4СШ - 35 кВ  - ПС 220 кВ Могоча ПН-2 ;;;;;;;0;0;;7;116 
0;1;Выкл;60301181;60301003;0;ПС 220 кВ Могоча 3СШ - 35 кВ  - ПС 220 кВ Могоча ПН-1 ;;;;;;;0;0;;; 
0;0;Тр-р;60301049;60301124;0;ПС 220 кВ Могоча ср. точка АТ-2  - ПС 220 кВ Могоча  ;0.42;-12.8;;;0.495;;12;60307;-9;-8;59 
0;0;Тр-р;60301049;60301046;0;ПС 220 кВ Могоча ср. точка АТ-2  - ПС 220 кВ Могоча  ;0.48;131.5;;;0.046;;0;0;;; 
0;0;Тр-р;60301043;60301049;0;ПС 220 кВ Могоча 1-2 сш 220 кВ   - ПС 220 кВ Могоча ср. точка АТ-2 ;0.53;59.37;11.8;0.7;1;;0;0;-9;-9;30 
0;0;Тр-р;60301050;60301125;0;ПС 220 кВ Могоча ср. точка АТ-1  - ПС 220 кВ Могоча  ;0.42;-12.8;;;0.495;;12;60307;-9;-8;59 
0;0;Тр-р;60301050;60301048;0;ПС 220 кВ Могоча ср. точка АТ-1  - ПС 220 кВ Могоча  ;0.48;131.5;;;0.046;;0;0;;; 
0;0;Тр-р;60301043;60301050;0;ПС 220 кВ Могоча 1-2 сш 220 кВ   - ПС 220 кВ Могоча ср. точка АТ-1 ;0.53;59.37;11.8;0.7;1;;0;0;-9;-9;30 
0;1;Выкл;60301044;60301043;0;ПС 220 кВ Могоча 3-4 cш 220 кВ   - ПС 220 кВ Могоча 1-2 сш 220 кВ  ;;;;;;;0;0;;; 
0;0;Выкл;60301028;60301029;0;ПС 220 кВ Зилово   - ПС 220 кВ Зилово  ;;;;;;;0;0;1;;3 
0;0;Выкл;60301025;60301024;0;ПС 220 кВ Жирекен   - ПС 220 кВ Жирекен  ;;;;;;;0;0;-9;4;47 
0;0;Тр-р;60301150;60301025;0;ПС 220 кВ Жирекен ср. точка АТ-2  - ПС 220 кВ Жирекен  ;1.23;-13.99;;;0.495;;15;60306;4;3;25 
0;0;Тр-р;60301150;60301151;0;ПС 220 кВ Жирекен ср. точка АТ-2  - ПС 220 кВ Жирекен ;0.81;193.04;;;0.048;;0;0;-1;-1;57 
0;0;Тр-р;60301146;60301150;0;ПС 220 кВ Жирекен   - ПС 220 кВ Жирекен ср. точка АТ-2 ;1.29;97.96;5.6;0.7;1;;0;0;4;2;9 
0;0;Тр-р;60301148;60301024;0;ПС 220 кВ Жирекен ср. точка АТ-1  - ПС 220 кВ Жирекен  ;1.25;-10.55;;;0.495;;15;60306;3;1;15 
0;0;Тр-р;60301148;60301149;0;ПС 220 кВ Жирекен ср. точка АТ-1  - ПС 220 кВ Жирекен ;0.81;191.14;;;0.048;;0;0;;; 
0;0;Тр-р;60301147;60301148;0;ПС 220 кВ Жирекен   - ПС 220 кВ Жирекен ср. точка АТ-1 ;1.27;102.9;1.9;0.7;1;;0;0;3;1;7 
0;1;Выкл;60301016;60301113;0;ПС 220 кВ Бушулей   - ПС 220 кВ Бушулей ШР-2  ;;;;;;;0;0;;; 
0;1;Выкл;60301016;60301160;0;ПС 220 кВ Бушулей   - ПС 220 кВ Бушулей ШР-1  ;;;;;;;0;0;;; 
0;1;Выкл;60301006;60305006;0;ПС 220 кВ Амазар   - ПС 220 кВ Амазар ШР-4  ;;;;;;;0;0;;; 
0;1;Выкл;60301006;60301155;0;ПС 220 кВ Амазар   - ПС 220 кВ Амазар ШР-3  ;;;;;;;0;0;;; 
0;1;Выкл;60301006;60302180;0;ПС 220 кВ Амазар   - ПС 220 кВ Амазар ШР-2  ;;;;;;;0;0;;; 
0;1;Выкл;60301006;60301154;0;ПС 220 кВ Амазар   - ПС 220 кВ Амазар ШР-1  ;;;;;;;0;0;;; 
0;0;Выкл;60301102;60301103;0;ПС 110 кВ Чернышевск   - ПС 110 кВ Чернышевск  ;;;;;;;0;0;-7;1;34 
0;1;Выкл;60301054;60301053;0;ПС 110 кВ Нерчинск   - ПС 110 кВ Нерчинск  ;;;;;;;0;0;;; 
0;0;Тр-р;60301065;60301076;0;Первомайская ТЭЦ   - Первомайская ТЭЦ  ;3;75;7.1;1.5;0.052;;0;0;;;1 
0;0;ЛЭП;60301016;60301106;0;ПС 220 кВ Бушулей   - ПС 220 кВ Шапка  ;8.7;34.36;-215.6;;;;0;0;50;3;122 
0;0;ЛЭП;60301026;60301101;0;Отпайка ПС 220 кВ Жирекен   - ПС 220 кВ Чернышевск  ;3.82;16.43;-104.5;;;;0;0;40;-7;101 
0;0;ЛЭП;60301029;60301026;0;ПС 220 кВ Зилово   - Отпайка ПС 220 кВ Жирекен  ;3.25;14.01;-89.2;;;;0;0;43;-1;104 
