sel;sta;tip;ny;name;uhom;nsx;pn;qn;pg;qg;vzd;qmin;qmax;bshr;gshr;vras;delta;qnr;pnr 
0;0;Нагр;6238;ПС 220 кВ Мирный ОРУ-220 кВ;220;0;;;;;;;;;;240.61;-51.18;; 
0;0;Нагр;6144;ПС 220 кВ Мирный 2СШ-110 кВ;110;1;3.7;-0.2;;;;;;;;120.86;-53.7;;4 
0;0;Нагр;6135;ПС 220 кВ Районная 1СШ-110;110;0;;;;;;;;;;120.7;-51.36;; 
0;0;Нагр;6145;ПС 220 кВ Мирный 1СШ-110 кВ;110;1;1.4;-0.7;;;;;;;;121.01;-52.11;-1;2 
0;0;Нагр;6146;ПС 220 кВ Фабрика № 3 2СШ-110 кВ;110;0;;;;;;;;;;119.89;-54.17;; 
0;0;Нагр;6147;отп. Л-131 на ПС 110 кВ Западная;110;0;;;;;;;;;;119.97;-54.12;; 
0;0;Нагр;6148;отп. Л-132 на ПС 110 кВ Западная;110;0;;;;;;;;;;120.6;-53.83;; 
0;0;Нагр;6149;ПС 110 кВ Западная 1СШ-110 кВ, 3СШ-110 кВ;110;1;5.2;0.9;;;;;;;;119.94;-54.13;1;5 
0;0;Нагр;6150;ПС 110 кВ Западная 2СШ-110 кВ, 4СШ-110 кВ;110;1;3.1;0.3;;;;;;;;120.59;-53.84;;3 
0;0;Нагр;6239;ПС 220 кВ Мирный с.т. 1АТ;220;0;;;;;;;;;;239.63;-52.13;; 
0;0;Нагр;6240;ПС 220 кВ Мирный с.т. 2АТ;220;0;;;;;;;;;;239.39;-54.07;; 
0;0;Нагр;6241;отп. Л-211 на ПС 220 кВ Фабрика № 3;220;0;;;;;;;;;;240.75;-51.1;; 
0;0;Нагр;6242;ПС 220 кВ Фабрика № 3 с.т. 1АТ;220;0;;;;;;;;;;240.75;-51.1;; 
0;0;Нагр;6234;ПС 220 кВ Районная 2СШ-220 кВ;220;0;;;;;;;;;;240.82;-51.06;; 
0;0;Нагр;6235;ПС 220 кВ Районная 1СШ-220 кВ;220;0;;;;;;;;;;240.82;-51.06;; 
0;0;Нагр;6134;ПС 220 кВ Районная 2СШ-110;110;0;;;;;;;;;;120.15;-51.82;; 
0;0;Нагр;6136;ПС 110 кВ Эльгяй;110;1;4.3;1.1;;;;;;;;117.14;-69.66;1;5 
0;0;Нагр;6137;ПС 110 кВ Шея;110;1;5.1;1.1;;;;;;;;111.06;-73.92;1;5 
0;0;Нагр;6139;ПС 110 кВ Нюрба;110;0;;;;;;;;;;99.93;-84.98;; 
0;0;Нагр;6138;ПС 110 кВ Кюндядя;110;1;4.8;0.2;;;;;;;;102.25;-82.14;;5 
0;0;Нагр;6141;ПС 110 кВ Онхой;110;1;5.2;1.3;;;;;;;;97.38;-89.76;1;5 
0;0;Нагр;6143;ПС 110 кВ Вилюйск ОРУ-110 кВ;110;0;;;;;;-100;100;;;96.68;-95.24;; 
0;0;Нагр;6142;ПС 110 кВ Верхневилюйск;110;70623;3.6;1.6;;;;;;;;96.91;-92.44;1;3 
0;0;Нагр;6140;отп. Л-104 на ПС 110 кВ Онхой;110;0;;;;;;;;;;97.67;-89.6;; 
0;0;Нагр;6232;отп. Л-244 на ПС 220 кВ НПС-14;220;0;;;;;;;;;;226.87;-52.06;; 
0;0;Нагр;6233;отп. Л-243 на ПС 220 кВ НПС-14;220;0;;;;;;;;;;226.44;-52.21;; 
0;0;Ген;6220;ПС 220 кВ Городская 2СШ-220 кВ;220;0;;;;-3.4;240;-63;-1;;;240;-55.61;; 
0;0;Нагр;6213;ПС 220 кВ НПС-13 1СШ-220 кВ;220;1;14.9;5;;;;;;;;234.56;-55.32;6;16 
0;0;Нагр;6214;ПС 220 кВ НПС-14 1Т;220;1;9.9;1.4;;;;;;;;226.87;-52.06;1;10 
0;0;Нагр;6215;ПС 220 кВ НПС-14 2Т;220;1;17;3.2;;;;;;;;226.44;-52.21;3;17 
0;1;Нагр;6126;ПС 220 кВ Пеледуй 2СШ-110 кВ;110;1;5.9;0.1;;;;;;;;;-14.42;; 
0;0;Нагр;6547;ПС 220 кВ НПС-11 2СШ-220 кВ;220;1;12.8;3.5;;;;;;;;241.06;-56.47;4;14 
0;1;Нагр;6125;ПС 220 кВ Пеледуй 1СШ-110 кВ;110;1;6.5;-0.2;;;;;;;;;-14.48;; 
0;0;Нагр;6544;ПС 220 кВ Мирный 3СШ-10 кВ, 4СШ-10 кВ;10;2;11.2;2.2;;;;;;;;11.4;-55.62;3;12 
0;0;Нагр;6545;ПС 220 кВ Мирный 1СШ-10 кВ, 2СШ-10 кВ;10;2;14.3;2.9;;;;;;;;11.38;-54.1;4;16 
0;0;Нагр;6546;ПС 220 кВ Фабрика № 3 РУ-6 кВ;6;2;14.9;3.3;;;;;;;;6.54;-59.96;4;16 
0;0;Нагр;6132;ПС 110 кВ Мир 2C-110;110;1;2.7;1.3;;;;;;;;120.08;-51.84;2;3 
0;0;Нагр;6133;ПС 110 кВ Интернациональная 1C-110;110;1;2.1;1.4;;;;;;;;120.52;-51.41;2;2 
0;0;Нагр;6159;ПС 110 кВ Интернациональная 2C-110;110;1;4.8;3;;;;;;;;119.72;-51.93;4;5 
1;1;Нагр;6246;ПС 220 кВ КС-1 2С 220 кВ;220;0;;;;;;;;;;;;; 
1;1;Нагр;6245;ПС 220 кВ КС-1 1С 220 кВ;220;0;;;;;;;;;;;;; 
0;0;Нагр;6244;ПС 220 кВ Фабрика № 3 ОРУ-220 кВ;220;0;;;;;;;;;;240.75;-51.1;; 
0;0;Нагр;6158;ПП-5 Л-102;110;0;;;;;;;;;;113.09;-58.11;; 
0;0;Нагр;6160;отп. Л-102 на ПС 110 кВ Дорожная;110;1;1.6;1.6;;;;;;;;113.08;-58.11;2;2 
0;0;Нагр;6243;отп. Л-212 на ПС 220 кВ Фабрика № 3;220;0;;;;;;;;;;240.76;-51.1;; 
0;0;Нагр;6162;отп. Л-102 на ПС 110 кВ Заря;110;0;;;;;;;;;;121.08;-54.88;; 
0;0;Нагр;6164;ПС 110 кВ Заря;110;1;;0.6;;;;;;;;121.07;-54.89;1; 
0;0;Нагр;6165;ПС 110 кВ Таас-Юрях;110;1;6.7;0.2;;;;;;;;119.97;-55.98;;7 
0;0;Нагр;6154;отп. Л-102 на ПС 110 кВ Северная Нюя;110;1;0.2;;;;;;;;;113.51;-57.9;; 
0;0;Нагр;6532;ПС 220 кВ Олёкминск с.т. 2Т;220;0;;;;;;;;;;223.89;-55.41;; 
0;0;Нагр;6533;ПС 220 кВ Олёкминск 2СШ-6 кВ;6;2;8.1;1.7;;;;;;;;5.99;-56.64;2;8 
0;0;Нагр;6534;ПС 220 кВ Олёкминск с.т. 1Т;220;0;;;;;;;;;;224.33;-54.86;; 
0;0;Нагр;6535;ПС 220 кВ Олёкминск 1СШ-6 кВ;6;2;3;0.8;;;;;;;;6.02;-55.31;1;3 
0;0;Нагр;6538;ПС 110 кВ Вилюйск 2СШ-35 кВ;35;70625;4.9;0.7;;;;;;;;35.72;-103.5;1;5 
0;0;Нагр;6539;ПС 110 кВ Вилюйск 1СШ-35 БСК;35;70624;3.5;0.8;;;;;;-5388;;36.54;-98.58;;4 
0;0;Нагр;6210;ПС 220 кВ Айхал 2СШ-220 кВ;220;0;;;;;;;;;;230.88;-61.22;; 
0;0;Нагр;6223;ПС 220 кВ НПС-12 2СШ-220 кВ;220;1;17.6;4.4;;;;;;;;239.69;-55.76;5;19 
0;0;Нагр;6231;ПС 220 кВ Олёкминск 2СШ-220 кВ;220;0;;;;;;;;;;227.38;-53.1;; 
0;0;Нагр;7349;отп.2 на ПС Северная;110;0;;;;;;;;;;121.28;-22.35;; 
0;0;Нагр;7348;отп.1 на ПС Северная;110;0;;;;;;;;;;121.28;-22.35;; 
0;0;Нагр;7329;Якутская ГРЭС Новая 2СШ 2с;110;0;;;;;;;;;;121.42;-22.33;; 
0;1;Нагр;7347;ПС 220 кВ Майя 1С-10;10;0;;;;;;;;;;;;; 
0;1;Ген;7346;ПС 220 кВ Майя 2С-10;10;0;;;;;10.6;-20;20;;;;;; 
0;0;Нагр;7344;ПС 220 кВ Майя 1С-220;220;0;;;;;;;;;;228;-31.52;; 
0;0;Нагр;7343;ПС 220 кВ Майя ср.т. АТ-1;220;0;;;;;;;;;;226.87;-29.72;; 
0;0;Нагр;7342;ПС 220 кВ Майя ср.т. АТ-2;220;0;;;;;;;;;;226.87;-29.73;; 
0;0;Нагр;7341;ПС 220 кВ Майя 2СШ-110;110;1;6.5;2.3;;;;;;;;117.1;-30;3;7 
0;0;Нагр;7340;ПС 220 кВ Майя 1СШ-110;110;1;13.1;-0.5;;;;;;;;117.1;-30;-1;14 
0;0;Ген+;7334;Якутская ГРЭС Новая Г-4;10;2;0.7;;45.1;21.8;10.9;-15.2;21.8;;;10.87;-18.64;;1 
0;0;Ген;7333;Якутская ГРЭС Новая Г-3;10;2;1.4;;45;4.6;10.6;-15.6;22.4;;;10.6;-18.57;;1 
0;0;Ген;7332;Якутская ГРЭС Новая Г-2;10;2;6.2;;44.9;4.5;10.6;-15.8;22.8;;;10.6;-19.01;;6 
0;0;Ген;7331;Якутская ГРЭС Новая Г-1;10;2;1;;45.1;4.6;10.6;-15.6;22.3;;;10.6;-18.53;;1 
0;0;Нагр;7327;Якутская ГРЭС Новая 1СШ 2с;110;0;;;;;;;;;;121.42;-22.33;; 
0;0;Нагр;7328;Якутская ГРЭС Новая 2СШ 1с;110;0;;;;;;;;;;121.42;-22.33;; 
0;0;Нагр;7326;Якутская ГРЭС Новая 1СШ 1с;110;0;;;;;;;;;;121.42;-22.33;; 
0;0;Нагр;7530;ПС 110 кВ Северная 3СШ 6;6;0;;;;;;;;;;6.2;-24.16;; 
0;0;Нагр;7531;ПС 110 кВ Северная СШ 10;10;0;;;;;;;;;;10.32;-24.16;; 
0;0;Нагр;7322;Якутская ГРЭС 2СШ 2с ;110;0;;;;;;;;;;121.28;-22.35;; 
0;0;Нагр;7323;Якутская ГРЭС 2СШ 1с ;110;0;;;;;;;;;;121.28;-22.35;; 
0;0;Нагр;7175;отп. Л-106 на ПС 110 кВ Южная;110;0;;;;;;;;;;120.4;-23.4;; 
0;0;Нагр;7177;отп. Л-105 на ПС 110 кВ Птицефабрика;110;0;;;;;;;;;;120.29;-23.52;; 
0;0;Нагр;6548;ВЛ 220 КВГЭС - Айхал (Л-204);220;0;;;;;;;;;;238.84;-56.64;; 
0;0;Нагр;6549;ВЛ 220 КВГЭС - Айхал (Л-203);220;0;;;;;;;;;;238.84;-56.64;; 
0;0;Нагр;6171;ПС 110 кВ Вилюй ЗРУ-6 кВ;6;2;2.3;1;;;;;;;;6.4;-50.68;1;2 
0;0;Нагр;6172;ПС 110 кВ Нюрба 1с 110 кВ;110;0;;;;;;;;;;109.06;-87.09;; 
0;0;Нагр;6330;Светлинская ГЭС РУ-6 кВ;6;2;1.4;0.2;;;;;;;;6.9;-46.66;;2 
0;0;Нагр;7173;отп. Л-105 на ПС 110 кВ ДСК;110;0;;;;;;;;;;120.46;-23.3;; 
0;0;Нагр;7199;ПС 110 кВ Новый;110;1;0.2;;;;;;;;;111.62;-46.94;; 
0;0;Нагр;7174;отп. Л-106 на ПС 110 кВ ДСК;110;0;;;;;;;;;;120.5;-23.27;; 
0;0;Нагр;7176;отп. Л-106 на ПС 110 кВ Птицефабрика;110;0;;;;;;;;;;120.34;-23.48;; 
0;0;Нагр;7194;отп. Л-112 на ПС 110 кВ Ытык-Кюель;110;0;;;;;;;;;;112.09;-44.72;; 
0;0;Ген;7308;Якутская ГРЭС Г-8;11;0;;;33;5;10.6;-31.3;56.3;;;10.6;-19.84;; 
0;0;Нагр;7307;Якутская ГРЭС Г-7;11;0;;;;;10.6;;;;;10.52;-22.35;; 
0;0;Нагр;6331;Светлинская ГЭС РУ-6 кВ;6;2;1.3;0.1;;;;;;;;6.83;-48.75;;1 
0;0;Нагр;6174;ПС 110 кВ Вилюй ЗРУ-6 кВ 1С-6;6;2;;;;;;;;;;6.9;-46.66;; 
0;0;Нагр;7196;ПП 110 кВ Кюпцы;110;0;;;;;;;;;;118.56;-49.55;; 
0;0;Нагр;7145;отп. Л-107 на ПС 110 кВ Магарассы;110;0;;;;;;;;;;121.73;-23.58;; 
0;0;Ген;7304;Якутская ГРЭС Г-4;11;2;;;48;12.1;10.7;-28;52.7;;;10.7;-18.35;; 
0;0;Ген;7303;Якутская ГРЭС Г-3;11;2;1.5;;52;12.1;10.7;-26.4;51.3;;;10.7;-18.15;;2 
0;0;Ген;7302;Якутская ГРЭС Г-2;11;2;;;52;6.2;10.6;-26.4;51.3;;;10.6;-18.54;; 
0;0;Нагр;1121;ПС 220 кВ К ОРУ 110 кВ;110;1;27.9;2.6;;;;;;;;114.05;-41.82;3;29 
0;0;Нагр;7202;ПС 110 кВ Солнечный;110;1;4.1;-2.6;;;;;;;;121.07;-52.68;-3;4 
0;0;Нагр;7124;отп. Л-110 на ПС 110 кВ Центральная;110;0;;;;;;;;;;121.04;-22.48;; 
0;0;Нагр;7136;отп.Л-102 РЛТ-102;110;0;;;;;;;;;;120.98;-22.66;; 
0;0;Нагр;7143;отп. Л-101 на ПС 110 кВ Радиоцентр;110;0;;;;;;;;;;120.21;-22.94;; 
0;0;Нагр;7172;отп. Л-106 на ПС 110 кВ Набережная;110;0;;;;;;;;;;120.64;-23.1;; 
0;0;Нагр;7122;отп.Л-109 на ПС 110 кВ Восточная;110;0;;;;;;;;;;121.21;-22.41;; 
0;0;Нагр;7123;отп. Л-109 на ПС 110 кВ Центральная ;110;0;;;;;;;;;;121.03;-22.52;; 
0;0;Нагр;7121;отп.Л-110 на ПС 110 кВ Восточная ;110;0;;;;;;;;;;121.21;-22.4;; 
0;0;Нагр;7198;отп. Л-112 на ПС 110 кВ Новый;110;0;;;;;;;;;;111.63;-46.94;; 
0;0;Ген;7324;Якутская ТЭЦ 1СШ-6 ;6;2;1.7;1;6.2;1.4;6.2;;4.3;;;6.2;-24.18;1;2 
0;0;Нагр;7185;ПС 110 кВ Птицефабрика 1СШ 110;110;1;4.6;1.4;;;;;;;;120.29;-23.52;2;5 
0;0;Нагр;7115;ПС 110 кВ Восточная 1СШ 6;6;2;8.5;2.7;;;;;;;;6.22;-24.22;3;9 
0;0;Нагр;7137;отп.Л-101 РЛТ-101;110;0;;;;;;;;;;121.05;-22.6;; 
0;0;Нагр;7325;Якутская ТЭЦ 2СШ-6 ;6;2;1.7;1;;;6.4;;;;;6.2;-24.18;1;2 
0;0;Нагр;7171;отп. Л-105 на ПС 110 кВ Набережная;110;0;;;;;;;;;;120.61;-23.12;; 
0;0;Нагр;7113;ПС 110 кВ Восточная 1СШ 110;110;0;;;;;;;;;;121.2;-22.42;; 
0;0;Нагр;7112;ПС 110 кВ Восточная 2СШ 110;110;0;;;;;;;;;;121.19;-22.41;; 
0;0;Нагр;7191;ПС 110 кВ Борогонцы;110;1;10.6;3.8;;;;;;;;112.88;-32.18;4;11 
0;0;Нагр;1353;Партизанская ГPЭС I СШ-110;110;1;51.6;15.5;;;;;;;;118.57;-45.05;18;54 
0;0;Нагр;1123;ПС 220 кВ Горелое ОРУ 110 кВ;110;1;62.6;19.7;;;;;;;;118.53;-41.23;23;66 
0;0;Ген;7200;ПС 110 кВ Эльдикан;110;1;1.5;0.8;;-13;119;-25;-1.3;-967;;119;-49.94;1;2 
0;0;Нагр;7203;ПС 110 кВ Джебарики;110;1;2.5;0.7;;;;;;;;110.74;-47.91;1;2 
0;0;Нагр;7321;Якутская ГРЭС 1СШ ;110;0;;;;;;;;;;121.28;-22.35;; 
0;0;Нагр;7148;ПС 110 кВ Бердигестях;110;1;4.3;0.7;;;;;;;;120.94;-24.43;1;5 
0;0;Нагр;7178;отп. Л-105 на ПС 110 кВ Южная;110;0;;;;;;;;;;120.36;-23.43;; 
0;0;Нагр;7181;ПС 110 кВ Набережная 1СШ 110;110;1;9.8;2.7;;;;;;;;120.6;-23.13;3;10 
0;0;Нагр;7182;ПС 110 кВ Набережная 2СШ 110;110;1;10;2.5;;;;;;;;120.63;-23.11;3;11 
0;0;Нагр;7183;ПС 110 кВ ДСК 1СШ 110;110;1;4.1;0.9;;;;;;;;120.46;-23.3;1;4 
0;0;Нагр;7184;ПС 110 кВ ДСК 2СШ 110;110;1;2.8;1.1;;;;;;;;120.49;-23.27;1;3 
0;0;Нагр;6510;ПС 220 кВ Айхал СК_1;10;0;;;;8;;-8;15;;;11.17;-62.77;; 
0;0;Нагр;6511;ПС 220 кВ Айхал СК_2;10;0;;;;8;;-8;15;;;11.17;-62.77;; 
0;0;Нагр;7197;ПС 110 кВ Усть Мая;110;1;1.8;0.9;;;;;;;;118.35;-49.79;1;2 
0;0;Нагр;7201;ПС 110 кВ Хандыга;110;1;7.5;2.2;;;;;;;;110.99;-47.64;2;7 
0;0;Нагр;7114;ПС 110 кВ Восточная 2СШ 6;6;2;11.8;2.7;;;;;;;;6.2;-24.43;3;12 
0;0;Нагр;7155;ПС 110 кВ Южная 2СШ 110;110;1;1;0.6;;;;;;;;120.36;-23.43;1;1 
0;0;Нагр;7193;ПС 110 кВ Сулгачи;110;1;11.3;5.1;;;;;;;;113.79;-45.21;5;12 
0;0;Нагр;7130;ПС 110 кВ Северная 1СШ-110;110;1;9.5;0.7;;;;;;;;121.28;-22.35;1;10 
0;0;Нагр;7131;ПС 110 кВ Северная 2СШ-110;110;1;6.7;2.6;;;;;;;;121.28;-22.35;3;7 
0;0;Нагр;7126;ПС 110 кВ Центральная 1СШ 110;110;1;23.4;2.8;;;;;;;;120.89;-22.61;3;25 
0;0;Нагр;7125;ПС 110 кВ Центральная 2СШ 110;110;1;18.8;4.3;;;;;;;;120.91;-22.55;5;20 
0;0;Нагр;7195;ПС 110 кВ Ытык-Кюель;110;1;8.5;2.7;;;;;;;;111.91;-44.79;3;9 
0;0;Ген+;7192;ПС 110 кВ Чурапча;110;1;10;3.5;;-1.3;118;-25;-1.3;;;113.1;-42.05;4;10 
0;0;Нагр;7154;ПС 110 кВ Южная 1СШ 110;110;1;5.2;1.7;;;;;;;;120.39;-23.4;2;6 
0;0;Нагр;7151;ПС 110 кВ Магарассы;110;1;0.3;;;;;;;;;121.73;-23.58;; 
0;0;Нагр;7146;ПС 110 кВ Дачная;110;1;0.2;;;;;;;;;121.5;-22.47;; 
0;0;Нагр;7149;ПС 110 кВ Кангалассы;110;1;6.5;1.8;;;;;;;;119.84;-23.09;2;7 
0;0;Нагр;7144;ПС 110 кВ Радиоцентр 1СШ 110;110;1;5.1;2.7;;;;;;;;120.57;-22.76;3;5 
0;0;Нагр;7147;ПС 110 кВ Радиоцентр 2СШ 110;110;1;6.9;2.1;;;;;;;;120.21;-22.94;2;7 
0;0;Нагр;7156;ПС 110 кВ Табага 2СШ-110 ;110;1;4.1;-2.2;;;;;;;;119.74;-24.82;-3;4 
0;0;Нагр;7157;ПС 110 кВ Табага 1СШ-110 ;110;1;14.1;2.1;;;;;;;;119.74;-24.82;2;15 
0;0;Нагр;7186;ПС 110 кВ Птицефабрика 2СШ 110;110;0;;;;;;;;;;120.34;-23.48;; 
0;0;Нагр;7140;ПС 110 кВ Хатын Юрях 1СШ-110;110;1;24.8;5.3;;;;;;;;120.86;-22.77;6;26 
0;0;Нагр;7141;ПС 110 кВ Хатын Юрях 2СШ-110;110;1;11.1;3.7;;;;;;;;120.98;-22.65;4;12 
0;0;Нагр;3626;Свободненская ТЭС 3 СШ 220 кВ и 4 СШ 220 кВ;220;0;;;;;;;;;;237.38;-16.21;; 
0;0;Нагр;3625;Свободненская ТЭС 1 СШ 220 кВ и 2 СШ 220 кВ;220;1;5.6;0.1;;;;;;;;235.15;-15.62;;6 
1;1;Нагр;3326;Свободненская ТЭС 3 СШ 110 кВ и 4 СШ 110 кВ;110;0;;;;;;;;;;;;; 
1;1;Нагр;3325;Свободненская ТЭС 1 СШ 110 кВ и 2 СШ 110 кВ;110;0;;;;;;;;;;;;; 
0;0;Нагр;4133;ПС 220 кВ Томмот 2 С 10;10;0;;;;;;-20;20;;;11.11;-38.56;; 
0;0;Нагр;4128;ПС 220 кВ Томмот АТ-2;220;0;;;;;;;;;;231.55;-38.56;; 
0;0;Нагр;4129;ПС 220 кВ Томмот АТ-1;220;0;;;;;;;;;;231.54;-38.56;; 
0;0;Ген+;4130;ПС 220 кВ Томмот КРУЭ-220 кВ;220;0;;;;-5;235;-100;-5;;;231.81;-37.62;; 
0;0;Нагр;6553;ПС 110 кВ Нюрба 1с 35 кВ;35;70622;6;0.9;;;;;;-8163;;35.51;-87.06;1;6 
0;0;Нагр;6554;ПС 110 кВ Нюрба 2с 35 кВ;35;70622;17.1;4.8;;;;;;;;35.21;-90.99;5;17 
1;1;Нагр;4136;ПС 110 кВ Комсомольская 1С;110;1;;;;;;;;;;;;; 
1;1;Нагр;4135;отп.2 на ПС 110 кВ Комсомольская;110;0;;;;;;;;;;;;; 
0;0;Нагр;3491;ПС 220 кВ Створ отп.;220;0;;;;;;;;;;240.25;-7.68;; 
0;0;Нагр;3492;ПС 220 кВ Створ;220;1;1.5;0.1;;;;;;;;240.25;-7.68;;2 
0;0;Нагр;4310;ПС 220 кВ НПС-19 2С-220;220;1;13.3;3.9;;;;;;;;235.66;-23.49;4;14 
0;0;Нагр;4309;ПС 220 кВ НПС-19 1С-220;220;1;7.6;1.9;;;;;;;;235.72;-23.47;2;8 
0;0;Нагр;3479;ПС 220 кВ Восточная;220;1;0.8;1.1;;;;;;;;234.71;-16.51;1;1 
0;0;Нагр;3478;ПС 220 кВ ГПП;220;1;4.3;0.2;;;;;;;;234.71;-16.55;;4 
0;0;Нагр;3542;ПС 500 кВ Амурская 2СШ-220 кВ;220;1;25.2;14.3;;;;;;;;235.51;-14.47;16;26 
0;0;Нагр;3146;ПС 110 кВ Северная 1С-110 кВ;110;1;3.3;0.1;;;;;;;;118.39;-11.61;;3 
0;0;Нагр;3143;ПС 110 кВ Северная 2С-110 кВ;110;1;9.4;2.2;;;;;;;;118.36;-11.61;3;10 
0;0;Нагр;3410;ПС 220 кВ НПС-20;220;1;35.6;2.8;;;;;;;;226.09;-27.26;3;36 
0;0;Нагр;3536;ПС 500 кВ Амурская 7С 500;500;0;;;;;;;;653;2;502.26;-13.69;; 
0;0;Нагр;3508;Зейская ГЭС Р-Ам. 2;500;0;;;;;;;;653;2;508.81;-8.89;; 
0;0;Нагр;3624;ПС 220 кВ НПС-24;220;1;10.4;0.2;;;;;;;;234.36;-17.57;;11 
0;0;Нагр;8703;ПС 500 кВ Хэйхэ;500;0;750;-50;;;;;;;;502.16;-22.65;-50;750 
0;0;Ген+;3535;ПС 500 кВ Амурская 6С 500;500;0;;;;-9;505;-180;-9;;;502.26;-13.69;; 
0;0;Нагр;4619;ПС 220 кВ НПС-16 1С-220;220;1;12;3;;;;;;;;228;-43.77;3;12 
0;0;Нагр;4620;ПС 220 кВ НПС-16 2С-220;220;1;23.4;6.8;;;;;;;;226.84;-44.19;7;24 
0;0;Нагр;4614;отп.2 ПС 220 кВ НПС-16;220;0;;;;;;;;;;226.85;-44.18;; 
0;0;Нагр;4613;отп.1 ПС 220 кВ НПС-16;220;0;;;;;;;;;;228.01;-43.77;; 
0;0;Нагр;4618;ПС 220 кВ НПС-18 1 СШ 220;220;1;17;4.8;;;;;;;;231.46;-32.58;5;18 
0;0;Нагр;3564;Бурейская ГЭС т.с. В1-500 В2-500;500;0;;;;;;;;;;507.38;-3.76;; 
0;0;Нагр;3565;Бурейская ГЭС т.с. В2-500 В3-500;500;0;;;;;;;;653;1;507.38;-3.76;; 
0;0;Нагр;3551;Бурейская ГЭС Ш-АТ-220;220;0;;;;;;;;;;236.64;-4.47;; 
0;0;Нагр;3552;Бурейская ГЭС 2C-220;220;0;;;;;;;;;;236.64;-4.47;; 
0;0;Нагр;3553;Бурейская ГЭС 1C-220;220;0;;;;;;;;;;236.64;-4.47;; 
0;0;База;3511;Бурейская ГЭС ГА1;16;2;1.2;0.3;231.4;28.2;15.5;-195.6;210.7;;;15.5;;;1 
0;0;Нагр;3512;Бурейская ГЭС ГА2;16;2;2;0.1;;;15.2;;;;;15.38;-4.51;;2 
0;0;Ген;3513;Бурейская ГЭС ГА3;16;0;;;300;10.2;15.2;-182.3;188.6;;;15.2;3.05;; 
0;0;Ген;3514;Бурейская ГЭС ГА4;16;0;;;300;10.3;15.2;-182.3;188.6;;;15.2;3.07;; 
0;0;Ген;3515;Бурейская ГЭС ГА5;16;0;;;300;10.5;15.2;-182.3;188.6;;;15.2;3.12;; 
0;0;Ген;3516;Бурейская ГЭС ГА6;16;2;1.3;;300;10.2;15.2;-182.3;188.6;;;15.2;3.13;;1 
0;0;Нагр;3423;ПС 220 кВ БАМ/Т;220;1;28.6;25.6;;;;;;;;220.46;-29.5;26;29 
0;0;Нагр;3534;ПС 500 кВ Амурская ср.т. АТ-2;500;0;;;;;;;;;;501.97;-14.55;; 
0;0;Нагр;3424;ПС 220 кВ Уруша/т;220;1;28;29;;;;;;;;219.26;-31.3;29;28 
1;1;Нагр;3426;ПС 220 кВ Сгибеево/т;220;0;;;;;;;;;;;;; 
0;0;Нагр;3425;ПС 220 кВ Большая Омутная/т;220;1;29.6;25.7;;;;;;;;219.75;-33.09;26;30 
0;0;Нагр;3427;ПС 220 кВ Ерофей Павлович/т;220;1;16;14.9;;;;;;;;220.82;-33.6;15;16 
0;0;Нагр;3429;ПС 220 кВ Аячи/т;220;1;6.6;5;;;;;;;;222.34;-34.08;5;7 
0;0;Нагр;8700;ПС 110 кВ Хэйхэ;110;1;35.6;9.4;;;;;;;;117;-13.21;10;37 
0;0;Нагр;3533;ПС 500 кВ Амурская ср.т. АТ-1;500;0;;;;;;;;;;501.97;-14.54;; 
0;0;Нагр;3413;ПС 220 кВ Уландочка;220;1;;0.1;;;;;;;;235.83;-19.58;; 
0;0;Нагр;3431;ПС 220 кВ Талдан/т 1С-220;220;1;8.5;13.7;;;;;;;;224.81;-24.02;14;9 
0;0;Нагр;1207;ПС 110 кВ Приозерная;110;1;0.8;0.3;;;;;;;;112.33;-48.47;;1 
0;0;Нагр;3432;ПС 220 кВ Талдан/т 2С-220;220;1;8.5;0.1;;;;;;;;223.75;-25.86;;9 
0;0;Нагр;3435;ПС 220 кВ Гонжа/т ;220;1;14;25;;;;;;;;226.52;-21.88;26;14 
1;1;Нагр;4134;отп.1 на ПС 110 кВ Комсомольская;110;0;;;;;;;;;;;;; 
0;0;Нагр;60305003;ПС 220 кВ Чара;220;1;11;2.7;;;;;;225;;212.84;-35.04;3;11 
0;0;Нагр;3439;ПС 220 кВ Сулус/т;220;1;25.1;14.3;;;;;;;;231.11;-18.88;16;26 
0;0;Нагр;4101;ПС 110 кВ Малый Нимныр;110;1;0.2;0.1;;;;;;;;117.53;-25.56;; 
0;0;Нагр;4103;ПС 110 кВ Большой Нимныр;110;1;0.3;0.3;;;;;;;;116.06;-29.92;; 
0;0;Нагр;4105;ПС 110 кВ Юхта;110;1;0.1;0.2;;;;;;;;115.58;-31.79;; 
0;0;Нагр;4106;ПС 110 кВ Лебединый;110;1;3.1;0.2;;;;;;;;114.94;-35.31;;3 
0;0;Нагр;4122;ПС 220 кВ Нижний Куранах 2С-110 кВ;110;0;;;;;;;;;;115.53;-38.1;; 
0;0;Нагр;4121;ПС 220 кВ Нижний Куранах 1С-110 кВ;110;0;;;;;;;;;;115.53;-38.1;; 
0;0;Нагр;4131;ПС 220 кВ Томмот КРУЭ-110 кВ;110;1;16.6;0.9;;;;;;;;118.14;-38.44;1;17 
0;0;Нагр;4107;ПС 110 кВ Верхний Куранах отп.;110;0;;;;;;;;;;115.38;-37.48;; 
