sel;sta;tip;ny;name;uhom;nsx;pn;qn;pg;qg;vzd;qmin;qmax;bshr;gshr;vras;delta;qnr;pnr 
0;0;Нагр;1580;CИБИP;235;0;;;;;;;;;;228.23;-46.13;; 
0;0;Нагр;1582;ПPOTOЧ;233;0;48;7;;;;;;;;234.25;-47.77;7;48 
0;0;Нагр;1583;ПPOTOЧ;233;0;74;9;;;;;;;;227.42;-46.67;9;74 
0;0;Нагр;1586;EPMAK;231;0;77;12;;;;;;;;226.93;-47.02;12;77 
0;0;Нагр;1592;HAДEЖДA;230;0;30;;;;;;;;;224.86;-48.81;;30 
0;0;Нагр;1622;ПPИMA...;220;0;96;28;;;;;;;;220.63;-60.75;28;96 
0;0;Нагр;1627;OЛEHЬЯ;223;0;51;11;;;;;;;;233.31;-63.94;11;51 
0;0;Нагр;1632;TAPKO-C;220;0;489;59;;;;;;;;226.82;-58.57;59;489 
0;0;Нагр;1668;ЮБИЛEЙ;230;0;;;;;;;;;;234.6;-62.31;; 
0;0;Нагр;1669;ПPABOX;230;0;22;8;;;;;;;;230.68;-64.06;8;22 
0;0;Нагр;1675;Ю.XAPAMП;230;0;69;26;;;;;;;;217.85;-63.3;26;69 
0;0;Нагр;1680;;225;0;;;;;;;;;;238.31;-59.14;; 
0;0;Нагр;1684;CEДAЯX;228;0;;;;;;;;;;236.32;-60.87;; 
0;0;Нагр;1690;CEBEPH;215;0;84;25;;;;;;;;218.98;-62.6;25;84 
0;0;Нагр;1704;TABДA;225;0;89;30;;;;;;;;223.17;-42.93;30;89 
0;0;Нагр;1706;COTHИK;230;0;109;24;;15;;15;15;1708;;236.57;-45.33;24;109 
0;0;Нагр;1708;KPГПЗ-3;230;0;;;-40;;;;;;;229.07;-52.33;; 
0;0;Нагр;1709;KГПЗ-4,5;230;0;;;-80;;;;;;;231.11;-52.25;; 
0;0;Нагр;1710;HOBAЯ;235;0;129;20;;;;;;;;228.79;-52.77;20;129 
0;0;Нагр;1714;BAHДMTO;240;0;119;17;;;;;;;;228.96;-53.2;17;119 
0;0;Нагр;1716;XOPAAЖ;230;0;149;23;;;;;;;;230.65;-52.11;23;149 
0;0;Нагр;1720;KAPTOПЬ;240;0;74;46;;;;;;-793;;224.33;-56.51;46;74 
0;0;Нагр;1722;ЯГOД;237;0;36;31;;;;;;;;233.52;-47.33;31;36 
0;0;Нагр;1724;KPГПЗ1,2;230;0;;;-80;;;;;;;229.79;-52.64;; 
0;0;Нагр;1740;ИЛЬKOBO;230;0;;;;;;;;;;234.19;-48.49;; 
0;0;Нагр;1926;ЗABOД;209;0;132;81;;;;;;;;221.74;-40.82;81;132 
0;0;Нагр;1938;KHЯЖEBO;223;0;130;75;;;;;;;;228.81;-39.38;75;130 
0;0;Нагр;2001;ПOЛИMEP;230;0;;;;;;;;;;225.45;-48.54;; 
