sel;sta;tip;ip;iq;np;name;r;x;b;g;ktr;kti;n_anc;bd;pl_ip;ql_ip;i_max 
0;0;Тр-р;44;59;0;Пс-3-Тр2     - Пс-3-Н51    ;7.75;318.13;;;0.048;;0;0;-10;-5;29 
0;1;ЛЭП;45;58;0;Пс-3-Н61     - Пс-3-Н6     ;;;;;;;0;0;;; 
0;1;ЛЭП;46;59;0;Пс-3-Н5      - Пс-3-Н51    ;;;;;;;0;0;;; 
0;0;ЛЭП;49;31;0;Л3точ кз     - Пс-2 220    ;4.32;17.12;-109.2;;;;0;0;-56;-12;145 
0;0;ЛЭП;51;32;0;Л4точ кз     - Пс-3-220    ;3.78;14.98;-95.5;;;;0;0;-20;-6;57 
0;0;ЛЭП;52;37;0;Л1точ кз     - Пс-1-220    ;2.6;16.04;-113.5;;;;0;0;-326;-70;857 
0;0;ЛЭП;53;3801;0;Л2точ кз     - СШ2 ПС4 220 кВ;6.5;40.1;-284;;;;0;0;-204;55;556 
0;0;Тр-р;4801;4800;0;СШ1 ПС 500 кВ - АТ11 - от;;39.61;11.2;1.5;1;;0;0;394;-186;503 
0;0;Тр-р;4800;38;0;АТ11 - от - Пс-4-220    ;;-3.88;;;0.462;;0;0;394;-153;502 
0;1;Тр-р;4800;47;0;АТ11 - от - Пс-4-нн     ;;75.33;;;0.07;;0;0;;; 
0;0;Выкл;4801;4802;0;СШ1 ПС 500 кВ - СШ2 ПС 500 кВ;;;;;;;0;0;-197;93;251 
0;0;Выкл;4803;4801;0;Пр1 ПС 500 кВ - СШ1 ПС 500 кВ;;;;;;;0;0;197;-93;251 
0;0;Выкл;4803;4802;0;Пр1 ПС 500 кВ - СШ2 ПС 500 кВ;;;;;;;0;0;;; 
0;0;ЛЭП;48;4802;0;Сист-500     - СШ2 ПС 500 кВ;0.1;;;;;;0;0;197;-93;251 
0;0;ЛЭП;48;4803;0;Сист-500     - Пр1 ПС 500 кВ;0.1;;;;;;0;0;197;-93;251 
0;0;Выкл;3802;38;0;Пр1 ПС4 220 кВ - Пс-4-220    ;;;;;;;0;0;-197;78;543 
0;0;Выкл;3802;3801;0;Пр1 ПС4 220 кВ - СШ2 ПС4 220 кВ;;;;;;;0;0;;;1 
0;0;Выкл;3801;38;0;СШ2 ПС4 220 кВ - Пс-4-220    ;;;;;;;0;0;-197;78;544 
